leg,joint,cmd_delta_rad,act_delta_rad
hover,0,-0.000065432,-0.000064217
hover,0,0.000375320,0.000373647
hover,0,0.000199257,0.000199683
hover,0,0.000111595,0.000116192
hover,0,0.000557799,0.000556961
hover,0,-0.000178248,-0.000177838
hover,0,0.000609775,0.000611469
hover,0,-0.000033883,-0.000034094
hover,0,0.000341637,0.000357434
hover,0,0.000190556,0.000186361
hover,0,0.000267657,0.000260539
hover,0,0.000063746,0.000061817
hover,0,0.000529915,0.000522789
hover,0,-0.000161857,-0.000155605
hover,0,0.000625168,0.000618227
hover,0,-0.000128852,-0.000120766
hover,0,0.000507956,0.000509005
hover,0,0.000143762,0.000148937
hover,0,-0.000012220,-0.000012834
hover,0,0.000653445,0.000649415
hover,0,-0.000292584,-0.000292461
hover,0,0.000794231,0.000791803
hover,0,-0.000019713,-0.000012670
hover,0,-0.000046284,-0.000047825
hover,0,0.000809003,0.000806764
hover,0,-0.000175995,-0.000173777
hover,0,0.000243313,0.000250954
hover,0,0.000320804,0.000313744
hover,0,0.000195226,0.000204649
hover,0,-0.000045781,-0.000050940
hover,0,0.000496083,0.000484645
hover,0,-0.000058569,-0.000049394
hover,0,0.000489881,0.000476040
hover,0,0.000051178,0.000063829
hover,0,0.000371893,0.000361502
hover,0,-0.000007550,-0.000001550
hover,0,0.000481580,0.000471048
hover,0,-0.000028855,-0.000017487
hover,0,0.000462450,0.000449844
hover,0,-0.000006626,0.000005420
hover,0,0.000442845,0.000430360
hover,0,-0.000003620,0.000007503
hover,0,0.000445948,0.000433575
hover,0,-0.000009332,0.000001606
hover,0,0.000454254,0.000442330
hover,0,-0.000013367,-0.000001963
hover,0,0.000453525,0.000441302
hover,0,-0.000006605,0.000005256
hover,0,0.000446861,0.000434294
hover,0,-0.000017013,-0.000010930
hover,0,0.000457635,0.000448689
hover,0,-0.000003242,0.000004042
hover,0,0.000472522,0.000466548
hover,0,-0.000062509,-0.000058781
hover,0,0.000625270,0.000624824
hover,0,-0.000062796,-0.000057772
hover,0,0.000202127,0.000202235
hover,0,0.000314313,0.000311185
hover,0,0.000068281,0.000072848
hover,0,0.000362728,0.000349496
hover,0,0.000330488,0.000338256
hover,0,-0.000174359,-0.000177499
hover,0,0.000599398,0.000599414
hover,0,-0.000074858,-0.000063144
hover,0,0.000607429,0.000589877
hover,0,-0.000014271,-0.000004210
hover,0,0.000142061,0.000142802
hover,0,0.000555574,0.000561163
hover,0,-0.000089062,-0.000091892
hover,0,0.000507623,0.000507005
hover,0,-0.000034439,-0.000034105
hover,0,0.000236441,0.000234645
hover,0,0.000225843,0.000223644
hover,0,0.000235702,0.000236932
hover,0,0.000148334,0.000148539
hover,0,0.000393625,0.000390574
hover,0,-0.000120854,-0.000119384
hover,0,0.000601876,0.000593644
hover,0,-0.000085945,-0.000077594
hover,0,0.000716959,0.000707157
hover,0,0.000088713,0.000096709
hover,0,-0.000235198,-0.000230271
hover,0,0.000294430,0.000291646
hover,0,0.000452720,0.000453129
hover,0,0.000542235,0.000550620
hover,0,0.000074340,0.000069898
hover,0,0.000280988,0.000279285
hover,0,-0.000072313,-0.000075005
hover,0,0.000526239,0.000525709
hover,0,-0.000039799,-0.000036974
hover,0,0.000369783,0.000368904
hover,0,0.000009597,0.000007663
hover,0,0.000533121,0.000531867
hover,0,-0.000102553,-0.000098284
hover,0,0.000535978,0.000532318
hover,0,-0.000076858,-0.000073157
hover,0,0.000460630,0.000462193
hover,0,-0.000028740,-0.000026681
hover,0,0.000485369,0.000479031
